row_id,lat_deg,lon_deg,report_date,status_id,water_source,water_tech,facility_type,country_name,install_year,installer,pay,status
301703,-1.9709983333333332,30.091765,02/24/2016,y,Piped Water,Tapstand,Improved,Rwanda,2015.0,,,
301920,-1.9755783333333332,30.15464166666667,02/17/2016,y,Piped Water,Tapstand,Improved,Rwanda,2013.0,,,
302020,-1.739595,29.90831333333333,02/19/2016,u,Unprotected Spring,,Unimproved,Rwanda,,,,
301788,-1.9891016666666668,30.226375,02/19/2016,y,Piped Water,Tapstand,Improved,Rwanda,2011.0,,,
301558,-1.9884833333333332,30.11413166666667,02/26/2016,y,Piped Water,Tapstand,Improved,Rwanda,2010.0,,,
301642,-1.9910733333333341,30.15233166666667,02/16/2016,n,Piped Water,Tapstand,Improved,Rwanda,2015.0,,,
301718,-1.974648333333334,30.072075,02/16/2016,n,Piped Water,Tapstand,Improved,Rwanda,2010.0,,,
301503,-1.9868233333333332,30.088618333333336,02/25/2016,n,,,,Rwanda,2012.0,,,
301906,-1.9653566666666669,30.14604333333333,02/17/2016,n,Piped Water,Tapstand,Improved,Rwanda,2012.0,,,
302114,-1.715182787282036,30.057217102633807,02/26/2016,y,Protected Spring,,Improved,Rwanda,1989.0,,,
301952,-1.6446783333333332,29.91116333333333,02/16/2016,y,Protected Spring,,Improved,Rwanda,2015.0,,,
301614,-1.9710633333333332,30.12630833333333,06/01/2013,n,,,,Rwanda,2008.0,,,
301471,-2.027131666666667,30.11662666666667,06/01/2013,y,Piped Water,Tapstand,Improved,Rwanda,2000.0,,,
302184,-1.611685,29.89797,02/15/2016,u,Unprotected Spring,,Unimproved,Rwanda,,,,
301693,-1.971747290053491,30.101937310180702,02/25/2016,y,Piped Water,Tapstand,Improved,Rwanda,2008.0,,,
301603,-1.9956383333333332,30.14522,02/15/2016,n,Piped Water,Tapstand,Improved,Rwanda,2010.0,,,
301809,-2.00198,30.189475,02/23/2016,y,Piped Water,Tapstand,Improved,Rwanda,2014.0,,,
302359,-1.786803333333333,30.001615,03/11/2016,y,Rainwater Harvesting,,Improved,Rwanda,2013.0,,,
301511,-1.9876200000000002,30.108225,02/25/2016,n,,,,Rwanda,2007.0,,,
